"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3b","0.10855370666298159","0.25118864315095796","5000","2346","492","0.46930613877224553","0.09858028394321136","0.21005538985939498","0.07511497700459908","-2.169708292333894","3824","103"
"fig3b","0.10855370666298159","0.27122725793320285","5000","2314","496","0.46290741851629674","0.09938012397520496","0.21468682505399567","0.07623475304939012","-2.151995247617151","3825","104"
"fig3b","0.10855370666298159","0.29286445646252357","5000","2336","519","0.4673065386922616","0.10397920415916817","0.22250748823277705","0.0806138772245551","-2.13271229315896","3826","105"
"fig3b","0.10855370666298159","0.31622776601683794","5000","2302","508","0.4605078984203159","0.10177964407118577","0.22101606600086846","0.07875424915016997","-2.111703916213827","3827","106"
"fig3b","0.10855370666298159","0.34145488738336005","5000","2304","525","0.46090781843631273","0.10517896420715857","0.22819956616052062","0.08213357328534293","-2.088795610925871","3828","107"
"fig3b","0.10855370666298159","0.3686945064519575","5000","2244","513","0.44891021795640873","0.10277944411117776","0.22895322939866367","0.08033393321335733","-2.0637906158094665","3829","108"
"fig3b","0.10855370666298159","0.3981071705534973","5000","2322","477","0.46450709858028394","0.09558088382323535","0.20576840292724924","0.07235552889422114","-2.0364657812761777","3830","109"
"fig3b","0.10855370666298159","0.42986623470822766","5000","2290","479","0.45810837832433515","0.09598080383923216","0.20951549541684855","0.07307538492301541","-2.0065662101108046","3831","110"
"fig3b","0.10855370666298159","0.464158883361278","5000","2256","514","0.4513097380523895","0.10297940411917617","0.22817899867080196","0.08041391721655669","-1.9737981056982505","3832","111"
"fig3b","0.10855370666298159","0.5011872336272722","5000","2236","499","0.44731053789242153","0.09998000399920016","0.22351363433169424","0.07761447710457908","-1.9378188942097836","3833","112"
"fig3b","0.10855370666298159","0.5411695265464638","5000","2334","443","0.46690661867626476","0.08878224355128975","0.19014989293361884","0.0654369126174765","-1.8982229995330044","3834","113"
"fig3b","0.10855370666298159","0.5843414133735175","5000","2161","449","0.4323135372925415","0.08998200359928014","0.20814061054579092","0.06836632673465307","-1.854520286913214","3835","114"
"fig3b","0.10855370666298159","0.6309573444801932","5000","2142","444","0.4285142971405719","0.08898220355928814","0.20765282314512365","0.06755648870225954","-1.8061012822359714","3836","115"
"fig3b","0.10855370666298159","0.6812920690579611","5000","2128","413","0.4257148570285943","0.08278344331133773","0.1944574917801785","0.06149770045990802","-1.7521764646662632","3837","116"
"fig3b","0.10855370666298159","0.7356422544596414","5000","2109","425","0.42191561687662466","0.08518296340731854","0.20189573459715643","0.0640871825634873","-1.6916589709661878","3838","117"
"fig3b","0.10855370666298159","0.7943282347242814","5000","2089","404","0.4179164167166567","0.08098380323935213","0.19377990430622008","0.06008798240351929","-1.6229042911059253","3839","118"
"fig3b","0.10855370666298159","0.8576958985908941","5000","2131","365","0.4263147370525895","0.07318536292741452","0.17166979362101314","0.05186962607478505","-1.5429999486154884","3840","119"
"fig3b","0.10855370666298159","0.9261187281287933","5000","2012","353","0.40251949610077986","0.07078584283143372","0.17585692995529062","0.05065986802639472","-1.4449640033372475","3841","120"
"fig3b","0.10855370666298159","1.0","5000","1857","355","0.3715256948610278","0.07118576284743051","0.19160387513455326","0.05260947810437912","-1.2577471712100419","3842","121"
"fig3b","0.11783907230272654","0.01","5000","3160","1907","0.6320735852829434","0.3815236952609478","0.603606453653907","0.34992001599680067","-1.8255865655848709","3843","122"
"fig3b","0.11783907230272654","0.0107977516232771","5000","3018","1694","0.6036792641471705","0.33893221355728853","0.5614441868168267","0.30874825034993003","-1.9101946426310974","3844","123"
"fig3b","0.11783907230272654","0.011659144011798317","5000","3020","1661","0.6040791841631674","0.3323335332933413","0.5501489572989076","0.30212957408518293","-1.9926413397538454","3845","124"
"fig3b","0.11783907230272654","0.012589254117941675","5000","3018","1515","0.6036792641471705","0.3031393721255749","0.5021530308049024","0.27295540891821635","-2.0715505731379267","3846","125"
"fig3b","0.11783907230272654","0.013593563908785255","5000","2984","1403","0.596880623875225","0.28074385122975404","0.4703517587939698","0.25089982003599276","-2.1452957060953963","3847","126"
"fig3b","0.11783907230272654","0.014677992676220698","5000","2906","1266","0.5812837432513497","0.2533493301339732","0.43584451324389406","0.22428514297140573","-2.2119678665810625","3848","127"
"fig3b","0.11783907230272654","0.015848931924611134","5000","2935","1132","0.5870825834833033","0.22655468906218756","0.3858991825613079","0.1972005598880224","-2.2693418243943597","3849","128"
"fig3b","0.11783907230272654","0.01711328304161781","5000","2889","991","0.5778844231153769","0.1983603279344131","0.34325259515570933","0.16946610677864427","-2.3148395229789003","3850","129"
"fig3b","0.11783907230272654","0.018478497974222907","5000","2752","849","0.5504899020195961","0.16996600679864027","0.30875408645114416","0.14244151169766045","-2.345491433000234","3851","130"
"fig3b","0.11783907230272654","0.0199526231496888","5000","2708","742","0.5416916616676665","0.14857028594281144","0.2742709486895533","0.12148570285942811","-2.357895978623503","3852","131"
"fig3b","0.11783907230272654","0.021544346900318832","5000","2543","645","0.5086982603479304","0.12917416516696661","0.2539308176100629","0.1037392521495701","-2.356658334128241","3853","132"
"fig3b","0.11783907230272654","0.02326305067153626","5000","2577","638","0.5154969006198761","0.1277744451109778","0.24786656322730796","0.10199960007998399","-2.3550254702525137","3854","133"
"fig3b","0.11783907230272654","0.025118864315095794","5000","2515","609","0.5030993801239753","0.1219756048790242","0.24244833068362479","0.09682063587282544","-2.353261122423305","3855","134"
"fig3b","0.11783907230272654","0.02712272579332028","5000","2590","582","0.5180963807238552","0.11657668466306739","0.2250096487842532","0.09067186562687463","-2.351354597403514","3856","135"
"fig3b","0.11783907230272654","0.029286445646252372","5000","2401","603","0.4803039392121576","0.12077584483103379","0.2514571190674438","0.0967606478704259","-2.349294314684556","3857","136"
"fig3b","0.11783907230272654","0.03162277660168379","5000","2457","614","0.49150169966006796","0.12297540491901619","0.2502034174125305","0.0984003199360128","-2.3470677299336558","3858","137"
