"figure","mass","amplitude","toys_per_hypothesis","tail_3nu","tail_4nu","p3_corrected","p4_corrected","cls_corrected","q","observed_test_statistic","tested_point_index","figure_point_index"
"fig3a","0.01","0.0630957344480193","5000","3652","3585","0.7304539092181563","0.7170565886822635","0.9816589104845332","0.6805338932213557","-0.13103898626110322","42","42"
"fig3a","0.01","0.07356422544596414","5000","3651","3635","0.730253949210158","0.7270545890821836","0.9956188389923329","0.6905418916216757","-0.15233907590896933","43","43"
"fig3a","0.01","0.08576958985908938","5000","3632","3605","0.7264547090581883","0.7210557888422315","0.9925681255161024","0.6847330533893221","-0.1770159580351276","44","44"
"fig3a","0.01","0.1","5000","3643","3559","0.7286542691461708","0.7118576284743051","0.9769484083424806","0.6754249150169965","-0.20557417445346005","45","45"
"fig3a","0.01","0.11659144011798311","5000","3707","3559","0.7414517096580684","0.7118576284743051","0.9600862998921251","0.6747850429914017","-0.23858240162772404","46","46"
"fig3a","0.01","0.13593563908785256","5000","3655","3581","0.7310537892421516","0.7162567486502699","0.9797592997811815","0.6797040591881623","-0.2766773121521169","47","47"
"fig3a","0.01","0.1584893192461114","5000","3724","3462","0.7448510297940412","0.6924615076984603","0.9296644295302013","0.6552189562087583","-0.3205657855562549","48","48"
"fig3a","0.01","0.18478497974222907","5000","3636","3516","0.727254549090182","0.7032593481303739","0.9670057739895519","0.6668966206758649","-0.3710244521510617","49","49"
"fig3a","0.01","0.21544346900318845","5000","3708","3528","0.7416516696660668","0.7056588682263547","0.9514693987597735","0.6685762847430514","-0.4288951625982804","50","50"
"fig3a","0.01","0.25118864315095796","5000","3642","3504","0.7284543091381723","0.7008598280343932","0.962119132583036","0.6644371125774846","-0.4950744635337969","51","51"
"fig3a","0.01","0.29286445646252374","5000","3620","3365","0.7240551889622076","0.6730653869226155","0.9295774647887325","0.6368626274745052","-0.570494497465404","52","52"
"fig3a","0.01","0.34145488738336005","5000","3634","3328","0.7268546290741852","0.6656668666266746","0.9158184319119669","0.6293241351729654","-0.6560919024499299","53","53"
"fig3a","0.01","0.3981071705534973","5000","3622","3285","0.7244551089782043","0.6570685862827434","0.9069831631244826","0.6208458308338333","-0.752760233572161","54","54"
"fig3a","0.01","0.46415888336127775","5000","3606","3207","0.7212557488502299","0.6414717056588682","0.889381757693374","0.6054089182163568","-0.8612801389823801","55","55"
"fig3a","0.01","0.5411695265464638","5000","3530","3156","0.7060587882423516","0.6312737452509498","0.8940809968847352","0.5959708058388322","-0.9822199866301276","56","56"
"fig3a","0.01","0.630957344480193","5000","3595","2950","0.7190561887622475","0.5900819836032793","0.8206340378197998","0.5541291741651669","-1.115797867338074","57","57"
"fig3a","0.01","0.7356422544596414","5000","3545","2867","0.7090581883623275","0.5734853029394121","0.8087986463620982","0.5380323935212957","-1.2616939509920542","58","58"
"fig3a","0.01","0.8576958985908937","5000","3488","2627","0.6976604679064187","0.525494901019796","0.7532244196044712","0.49061187762447506","-1.4188001650392437","59","59"
"fig3a","0.01","1.0","5000","3427","2468","0.6854629074185163","0.4937012597480504","0.72024504084014","0.4594281143771246","-1.5848923086723516","60","60"
"fig3a","0.011659144011798317","0.0001","5000","2649","2642","0.5298940211957609","0.528494301139772","0.9973584905660376","0.501999600079984","-0.0002871691679047217","61","61"
"fig3a","0.011659144011798317","0.00011659144011798323","5000","2637","2668","0.52749450109978","0.5336932613477304","1.0","0.5073185362927415","-0.0003348125944171443","62","62"
