flavour,energy_low_GeV,energy_high_GeV,energy_center_GeV,baseline_low_km,baseline_high_km,baseline_center_km,psi_per_POT_per_cm2_per_100MeV_per_km
nue,0.20000000000000001,0.30000000000000004,0.25,0.29999999999999999,0.31,0.30499999999999999,1.4085450428621772e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.31,0.32000000000000001,0.315,7.0254585625447901e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.32000000000000001,0.33000000000000002,0.32500000000000001,7.2992637779500879e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.33000000000000002,0.33999999999999997,0.33499999999999996,4.304932260676457e-14
nue,0.20000000000000001,0.30000000000000004,0.25,0.33999999999999997,0.34999999999999998,0.34499999999999997,0
nue,0.20000000000000001,0.30000000000000004,0.25,0.34999999999999998,0.35999999999999999,0.35499999999999998,3.0464382304730269e-14
nue,0.20000000000000001,0.30000000000000004,0.25,0.35999999999999999,0.37,0.36499999999999999,3.0897540885795044e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.37,0.38,0.375,6.682971029093757e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.38,0.39000000000000001,0.38500000000000001,9.9698733380592799e-14
nue,0.20000000000000001,0.30000000000000004,0.25,0.39000000000000001,0.40000000000000002,0.39500000000000002,2.500082675808138e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.40000000000000002,0.40999999999999998,0.40500000000000003,2.6546220591658359e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.40999999999999998,0.41999999999999998,0.41499999999999998,2.0588295418023438e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.41999999999999998,0.42999999999999999,0.42499999999999999,4.3573005833516964e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.42999999999999999,0.44,0.435,7.936900675336853e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.44,0.45000000000000001,0.44500000000000001,7.3902228254867714e-14
nue,0.20000000000000001,0.30000000000000004,0.25,0.45000000000000001,0.46000000000000002,0.45500000000000002,7.6748707035471352e-14
nue,0.20000000000000001,0.30000000000000004,0.25,0.46000000000000002,0.46999999999999997,0.46499999999999997,5.3499918636434804e-14
nue,0.20000000000000001,0.30000000000000004,0.25,0.46999999999999997,0.47999999999999998,0.47499999999999998,7.2614968512676714e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.47999999999999998,0.48999999999999999,0.48499999999999999,1.2880554876990402e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.48999999999999999,0.5,0.495,1.7238631866970367e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.5,0.51000000000000001,0.505,5.5188656787875165e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.51000000000000001,0.52000000000000002,0.51500000000000001,1.3845772145206499e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.52000000000000002,0.53000000000000003,0.52500000000000002,7.1627739227844414e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.53000000000000003,0.54000000000000004,0.53500000000000003,3.0938803832479584e-13
nue,0.20000000000000001,0.30000000000000004,0.25,0.54000000000000004,0.55000000000000004,0.54500000000000004,1.1271722307780993e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.55000000000000004,0.56000000000000005,0.55500000000000005,9.0141646338917618e-14
nue,0.20000000000000001,0.30000000000000004,0.25,0.56000000000000005,0.57000000000000006,0.56500000000000006,1.4996613211436416e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.57000000000000006,0.58000000000000007,0.57500000000000007,3.3888937328165339e-12
nue,0.20000000000000001,0.30000000000000004,0.25,0.58000000000000007,0.59000000000000008,0.58500000000000008,1.8826567391115959e-12
