#: table_doi: 10.17182/hepdata.166435.v1/t2
#: name: Contrained $\nu_e$ channels
#: description: Four $\nu_e$CC observation channels, after constraints from 10 $\nu_\mu$CC and NC $\pi^0$ channels. The four channels in order are BNB $\nu_e$CC FC, BNB $\nu_e$CC PC, NuMI $\nu_e$CC FC, and NuMI $\nu_e$CC PC. Each channel contains 25 bins from 0 to 2500 MeV of reconstructed neutrino energy, with an additional overflow bin.
#: data_file: constrained_nue_channels.yaml
#: keyword reactions: NUE CC
#: keyword phrases: Neutrino LArTPC Interactions
Bin index,Bin index LOW,Bin index HIGH,Data [counts per bin],stat +,stat -
95.5,95,96,4.32551
96.5,96,97,5.23216
97.5,97,98,3.67723
98.5,98,99,3.45203
99.5,99,100,4.48107
100.5,100,101,5.38996
101.5,101,102,5.00814
102.5,102,103,3.90309
103.5,103,104,48.1132

Bin index,Bin index LOW,Bin index HIGH,Constrained Signal + Constrained Background [counts per bin]
0.5,0,1,0.0642399
1.5,1,2,2.8383000000000003
2.5,2,3,7.53865
3.5,3,4,16.25035
4.5,4,5,19.75945
5.5,5,6,26.84011
6.5,6,7,30.63086
7.5,7,8,30.04533
8.5,8,9,29.170270000000002
9.5,9,10,26.716829999999998
10.5,10,11,27.43099
11.5,11,12,22.839385
12.5,12,13,22.54056
13.5,13,14,20.68179
14.5,14,15,17.7011
15.5,15,16,16.27946
16.5,16,17,14.612509999999999
17.5,17,18,13.808318
18.5,18,19,10.239863
19.5,19,20,9.877318
20.5,20,21,8.982057
21.5,21,22,7.978222
22.5,22,23,5.8550949999999995
23.5,23,24,6.51601
24.5,24,25,4.5786370000000005
25.5,25,26,27.461399999999998
26.5,26,27,0.00617793
27.5,27,28,0.90523
28.5,28,29,5.369949999999999
29.5,29,30,5.419284
30.5,30,31,8.243148
31.5,31,32,11.84044
32.5,32,33,13.4702
33.5,33,34,16.12526
34.5,34,35,15.303260000000002
35.5,35,36,15.22845
36.5,36,37,14.21586
37.5,37,38,14.8903
38.5,38,39,13.065
39.5,39,40,12.159550000000001
40.5,40,41,11.1687
41.5,41,42,11.23464
42.5,42,43,9.560369999999999
43.5,43,44,9.342649999999999
44.5,44,45,7.829396
45.5,45,46,7.3703899999999996
46.5,46,47,6.514617
47.5,47,48,6.729559999999999
48.5,48,49,5.144328
49.5,49,50,3.652377
50.5,50,51,4.14622
51.5,51,52,26.1774
52.5,52,53,0.0208527
53.5,53,54,5.83476
54.5,54,55,29.520780000000002
55.5,55,56,57.2713
56.5,56,57,89.55486
57.5,57,58,125.6694
58.5,58,59,128.28752
59.5,59,60,131.03994
60.5,60,61,129.31248
61.5,61,62,120.80912000000001
62.5,62,63,107.57790999999999
63.5,63,64,100.60145
64.5,64,65,83.58619
65.5,65,66,64.24636
66.5,66,67,56.696220000000004
67.5,67,68,52.722139999999996
68.5,68,69,39.2197
69.5,69,70,42.56595
70.5,70,71,32.63562
71.5,71,72,25.42867
72.5,72,73,23.82975
73.5,73,74,20.06446
74.5,74,75,23.786700000000003
75.5,75,76,19.15282
76.5,76,77,16.40359
77.5,77,78,99.3161
78.5,78,79,0.1959
79.5,79,80,4.238649
80.5,80,81,16.053217
81.5,81,82,26.029989999999998
82.5,82,83,44.081070000000004
83.5,83,84,52.9739
84.5,84,85,61.39694
85.5,85,86,63.87468
86.5,86,87,67.34336
87.5,87,88,60.87841
88.5,88,89,49.88933
89.5,89,90,53.597469999999994
90.5,90,91,41.517399999999995
91.5,91,92,35.86756
92.5,92,93,35.63272
93.5,93,94,34.08993
94.5,94,95,31.421439999999997
95.5,95,96,24.386010000000002
96.5,96,97,20.27586
97.5,97,98,16.166430000000002
98.5,98,99,14.789430000000001
99.5,99,100,12.98189
100.5,100,101,13.19437
101.5,101,102,15.811340000000001
102.5,102,103,11.06567
103.5,103,104,83.7195

