"tested_point_index","delta_m2_eV2","sin2_2theta_mue","toys","observed_profiled_delta_nll","toy_90_critical","toy_95_critical","toy_99_critical","toy_mean","toy_standard_deviation"
"16","0.01","0.000596423","10000","28.881647048667674","3.849445427244916","5.268326337696806","8.407706059294185","1.3676333139013161","1.8818263153355363"
"17","0.01","0.000622578","10000","28.881536851793385","3.788876389104985","5.131310068161156","8.240591008309252","1.3668795978963262","1.8863418325431798"
"18","0.01","0.00064988","10000","28.881421822604068","3.860912983299727","5.233870552054839","8.275784125949258","1.3682006415303938","1.869683304622231"
"19","0.01","0.00067838","10000","28.881301746261443","3.8166508998489235","5.277872649137294","8.866518293042134","1.3782893585641518","1.9317428986355423"
"20","0.01","0.000708129","10000","28.881176407928365","3.7935333215174296","5.180191508218343","8.43694482823355","1.3705324848079097","1.8849644102890561"
"21","0.01","0.000739183","10000","28.881045571707887","3.8076102237433815","5.105127311492595","8.541888526615821","1.356626628233574","1.8768164672728416"
"22","0.01","0.000771599","10000","28.880908997487325","3.924265841318231","5.306140870419085","8.7197456000805","1.3996682379171763","1.9093375118349407"
"23","0.01","0.000805437","10000","28.880766432528105","3.8283038184197835","5.189912263651479","8.58256179525796","1.357117373577647","1.885047528633701"
"24","0.01","0.000840758","10000","28.88061761987734","3.8651864948132584","5.432902743652619","8.833936927560444","1.390920741732113","1.9430157114054822"
"25","0.01","0.000877628","10000","28.880462281520693","3.7962451933183843","5.070969431870708","8.223032950612378","1.356731831470337","1.8410420982263749"
"26","0.01","0.000916115","10000","28.880300131030992","3.8301797346206854","5.211616456710033","8.18379045054428","1.3571851205554635","1.8446785990840142"
"27","0.01","0.00095629","10000","28.880130869337506","3.763136826036316","5.136978192552533","8.38372203871819","1.3575319307548699","1.870000374271739"
"28","0.01","0.000998227","10000","28.879954184747135","3.8160495943380397","5.11880498992673","8.567067200712586","1.3686971242295618","1.8952040233665841"
"29","0.01","0.001042","10000","28.87976976556996","3.726273747836899","5.032594440532478","8.58575763482338","1.3365303414792542","1.861225416444559"
"30","0.01","0.0010877","10000","28.879577228499386","3.8147627599555562","5.2591641620217615","8.945548386135727","1.392295074191789","1.9236514637008992"
"31","0.01","0.0011354","10000","28.879376266077145","3.801596795135424","5.2135540103573135","8.544173887650857","1.3591318405915536","1.876096364590215"
"32","0.01","0.00118519","10000","28.87916649923085","3.769274268863228","5.170571092807734","8.54848449793559","1.366253652548412","1.8537862840942083"
"33","0.01","0.00123716","10000","28.87894754890152","3.7679794676558913","5.056729213346102","8.68050479894032","1.335874749687853","1.8770760420054637"
"34","0.01","0.00129142","10000","28.878718951773465","3.8144413565809145","5.172320033008532","8.463784769976996","1.3791373830484037","1.8892662835664533"
"35","0.01","0.00134805","10000","28.878480370944885","3.7030740836027576","5.102722293002785","8.63263970244094","1.333242283860815","1.8769808680602897"
"36","0.01","0.00140717","10000","28.878231301004064","3.8955985936399884","5.315503080066264","8.742583120904555","1.4007863615032223","1.9251478138963039"
"37","0.01","0.00146888","10000","28.877971320808","3.938444674347693","5.2882590213263825","8.697860748775781","1.4077598160178448","1.9193254217052649"
"38","0.01","0.00153329","10000","28.877699967110004","3.869622669362002","5.315703311226912","8.59115787124341","1.39166477815595","1.9223250407303498"
"39","0.01","0.00160053","10000","28.877416692414897","3.8295253768242787","5.290707869905134","8.558063388801884","1.3751819652969266","1.9167898924440732"
"40","0.01","0.00167072","10000","28.877120991377353","3.7639600138908236","5.129217142940433","8.836153071455954","1.3537787192030943","1.8983811747940842"
"41","0.01","0.00174399","10000","28.876812316552957","3.7947200727736004","5.179977751321246","8.4601468847207","1.3549507824392286","1.8662776074927712"
"42","0.01","0.00182047","10000","28.876490120509914","3.894954482034393","5.367426322386166","8.600520981858494","1.3967351437462798","1.9050747004736361"
